epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,165919,1.35746,1.19236,1.07961,0.49756,0.38253,0.38237,0.22049,1.26772,1.51207,1.0054,0.004786,0.004786,0.004786
160,166957,1.35517,1.18969,1.07802,0.48879,0.38806,0.38305,0.22043,1.26814,1.51593,1.00558,0.004753,0.004753,0.004753
161,168037,1.35827,1.18976,1.07887,0.47891,0.39284,0.38338,0.22082,1.26803,1.5208,1.00545,0.00472,0.00472,0.00472
162,169072,1.3547,1.18999,1.07896,0.48421,0.39077,0.384,0.22097,1.26764,1.52339,1.00553,0.004687,0.004687,0.004687
163,170140,1.35627,1.18264,1.07834,0.48503,0.39126,0.38365,0.22069,1.26764,1.53223,1.00564,0.004654,0.004654,0.004654
164,171162,1.35497,1.18342,1.0768,0.48534,0.39127,0.38369,0.22092,1.26852,1.53103,1.00605,0.004621,0.004621,0.004621
165,172237,1.34714,1.17513,1.07618,0.48291,0.39186,0.3842,0.22122,1.26885,1.53572,1.00621,0.004588,0.004588,0.004588
166,173327,1.34798,1.18185,1.07388,0.48055,0.39496,0.3841,0.22124,1.26919,1.5324,1.00644,0.004555,0.004555,0.004555
167,174365,1.34802,1.17248,1.0738,0.48548,0.39109,0.38394,0.22156,1.26954,1.52839,1.00655,0.004522,0.004522,0.004522
168,175349,1.34943,1.17465,1.07562,0.47977,0.39396,0.38395,0.22157,1.2694,1.52192,1.00632,0.004489,0.004489,0.004489
169,176463,1.34605,1.17151,1.07409,0.48098,0.39216,0.38395,0.22167,1.26893,1.52629,1.00627,0.004456,0.004456,0.004456
170,177501,1.34538,1.16988,1.07501,0.47994,0.39349,0.38433,0.22177,1.26969,1.52015,1.0066,0.004423,0.004423,0.004423
171,178616,1.34663,1.16647,1.07381,0.47996,0.39352,0.38454,0.22204,1.26992,1.51495,1.00668,0.00439,0.00439,0.00439
172,179689,1.34026,1.16287,1.07042,0.47683,0.39459,0.3846,0.22202,1.2701,1.51289,1.00665,0.004357,0.004357,0.004357
173,180850,1.34038,1.16004,1.07181,0.47681,0.39473,0.3846,0.222,1.27069,1.51217,1.00688,0.004324,0.004324,0.004324
174,181973,1.34575,1.15972,1.07172,0.47748,0.3932,0.38497,0.22237,1.27078,1.51132,1.00677,0.004291,0.004291,0.004291
175,183048,1.34313,1.16016,1.07312,0.48123,0.39221,0.3856,0.22287,1.27118,1.50771,1.00692,0.004258,0.004258,0.004258
176,184213,1.33813,1.15134,1.07212,0.47895,0.39337,0.38607,0.22286,1.27127,1.50009,1.00712,0.004225,0.004225,0.004225
177,185267,1.33947,1.15833,1.07004,0.47936,0.39331,0.38611,0.22302,1.27192,1.48942,1.00727,0.004192,0.004192,0.004192
178,186369,1.33583,1.14961,1.06784,0.48195,0.39175,0.38604,0.22301,1.27206,1.48502,1.00742,0.004159,0.004159,0.004159
179,187441,1.3335,1.14326,1.06898,0.4818,0.39421,0.38655,0.22342,1.27216,1.48711,1.00759,0.004126,0.004126,0.004126
180,188546,1.33239,1.14651,1.06817,0.48093,0.39506,0.38679,0.22375,1.27244,1.48268,1.00761,0.004093,0.004093,0.004093
181,189636,1.33551,1.14525,1.06856,0.48576,0.39192,0.38633,0.22384,1.27328,1.47623,1.00772,0.00406,0.00406,0.00406
182,190717,1.33375,1.14096,1.06702,0.4821,0.39233,0.38637,0.22404,1.27344,1.46934,1.0078,0.004027,0.004027,0.004027
183,191852,1.33523,1.14048,1.06712,0.47792,0.39546,0.38624,0.22374,1.27402,1.47577,1.00806,0.003994,0.003994,0.003994
184,192961,1.33124,1.13936,1.06776,0.47758,0.39622,0.38623,0.22375,1.27434,1.47297,1.00837,0.003961,0.003961,0.003961
185,194050,1.33378,1.14151,1.06849,0.48084,0.39659,0.38685,0.22383,1.27428,1.46591,1.00845,0.003928,0.003928,0.003928
186,195167,1.33052,1.13691,1.06622,0.4798,0.39539,0.3865,0.22362,1.27472,1.45756,1.00835,0.003895,0.003895,0.003895
187,196302,1.32976,1.13096,1.06648,0.48115,0.39538,0.387,0.22408,1.27509,1.46107,1.00876,0.003862,0.003862,0.003862
